Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"001: Harmony Service Example: Bbox, Variable, and reformat",815,1,11000.0,12530.935428423289,6304.667920999918,50242.500908,18177.883435582822,0.21968695449773917,0.00026955454539599895,11000,12000,14000,15000,20000,25000,32000,37000,50000,50000,50000
GET,002: SWOT Reprojection: Europe scale extent,851,2,20000.0,23164.6364951187,250.98343100000875,180220.67439399986,140655.07755581668,0.22939091813199514,0.0005391090907919979,20000,26000,30000,33000,38000,41000,48000,52000,180000,180000,180000
async_job,003: 48 granules NetCDF-to-Zarr,36,9,66000.0,65307.71610471937,23727.193117141724,112400.0871181488,0.0,0.009703963634255963,0.002425990908563991,67000,72000,77000,79000,93000,100000,112000,112000,112000,112000,112000
GET,007: PODAAC L2SS mean sea surface,784,0,13000.0,14640.747582545906,7735.531347000006,65380.107328000006,51571.0,0.21133076359046318,0.0,13000,14000,16000,17000,23000,28000,33000,37000,65000,65000,65000
GET,008: Variable subsetter,849,0,12000.0,16102.262713129561,5639.738373,107765.00599900004,279253.0,0.22885180904120314,0.0,12000,14000,17000,19000,28000,34000,69000,100000,108000,108000,108000
async_job,009: 50 granules PODAAC L2SS Async Spatial and Temporal,34,1,64000.0,146913.76189624562,41935.19401550293,2558443.4740543365,0.0,0.009164854543463965,0.00026955454539599895,65000,80000,85000,91000,100000,273000,2558000,2558000,2558000,2558000,2558000
async_job,010: NetCDF to Zarr single granule,770,3,25000.0,32387.2637584612,2621.7222213745117,153389.43076133728,0.0,0.20755699995491922,0.000808663636187997,25000,33000,38000,43000,59000,76000,115000,134000,153000,153000,153000
async_job,011: Two PODAAC Concise granules,418,1,28000.0,34890.9454128959,11055.775880813599,143085.13522148132,0.0,0.11267379997552757,0.00026955454539599895,28000,37000,44000,46000,59000,78000,108000,120000,143000,143000,143000
GET,012: HOSS spatial and variable subset,787,3,12000.0,16260.041198102923,490.8136620001642,100894.28865100001,45882.02033036849,0.2121394272266512,0.000808663636187997,12000,14000,17000,21000,28000,38000,68000,84000,101000,101000,101000
async_job,013: Chain L2SS to zarr,828,2,40000.0,48642.45058344182,6477.657794952393,231532.4296951294,0.0,0.22319116358788715,0.0005391090907919979,40000,45000,50000,54000,77000,95000,170000,183000,232000,232000,232000
async_job,"014: 50 granules Harmony Service Example: Bbox, Variable, and reformat",35,0,44000.0,83275.53748403277,27842.58484840393,446053.60102653503,0.0,0.009434409088859964,0.0,44000,57000,70000,100000,269000,403000,446000,446000,446000,446000,446000
async_job,015: 50 granules PODAAC Concise,40,0,119000.0,135612.39545941353,81290.687084198,294534.1250896454,0.0,0.010782181815839958,0.0,119000,137000,157000,167000,222000,285000,295000,295000,295000,295000,295000
GET,Set up shared session cookies,1,0,1877.6636379999995,1877.6636379999995,1877.6636379999995,1877.6636379999995,497.0,0.00026955454539599895,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,async request started,2197,0,2000.0,2257.7522709640384,1202.0983889997297,11917.532135999976,808.7760582612653,0.5922113362350098,0.0,2000,2400,2700,2900,3500,4200,5300,5900,10000,12000,12000
GET,job status,65176,6,450.0,560.9895615561338,167.9865810000365,8379.528413999993,3756.318138578618,17.56848705072963,0.001617327272375994,450,510,570,620,850,1100,1600,2000,5500,8200,8400
,Aggregated,73621,28,470.0,2782.9110626555716,167.9865810000365,2558443.4740543365,9436.68553809375,19.84487518659884,0.007547527271087972,470,560,690,860,2400,15000,33000,44000,128000,269000,2558000
